date,city,hpi
2018-03-31,Lucknow,254.682514267365
2018-06-30,Lucknow,254.48623557967
2018-09-30,Lucknow,255.940598669715
2018-12-31,Lucknow,261.974789126849
2019-03-31,Lucknow,265.546563318209
2019-06-30,Lucknow,266.5
2019-09-30,Lucknow,275.108020595034
2019-12-31,Lucknow,266.545431472316
2020-03-31,Lucknow,272.4
2020-06-30,Lucknow,270.92131796225
2020-09-30,Lucknow,268.111943473915
2020-12-31,Lucknow,280.03843161416
2021-03-31,Lucknow,276.792909284093
2021-06-30,Lucknow,283.95294212388
2021-09-30,Lucknow,278.66795766578
2021-12-31,Lucknow,288.538545826891
2022-03-31,Lucknow,329.911058075148
2022-06-30,Lucknow,329.320706804053
2022-09-30,Lucknow,302.097426908639
2022-12-31,Lucknow,296.416913615916
2023-03-31,Lucknow,303.018257346479
2023-06-30,Lucknow,307.489073049424
2023-09-30,Lucknow,320.646055251155
2023-12-31,Lucknow,319.088522832344
2024-03-31,Lucknow,326.255102546836
2024-06-30,Lucknow,334.828481690048
2024-09-30,Lucknow,342.633446415831
2024-12-31,Lucknow,345.062495364466
2025-03-31,Lucknow,355.049129249616
,Lucknow,
,Lucknow,
,Lucknow,
,Lucknow,
,Lucknow,
,Lucknow,
,Lucknow,
2009-03-31,Mumbai,100.0
2009-06-30,Mumbai,116.0
2009-09-30,Mumbai,131.0
2009-12-31,Mumbai,135.1
2010-03-31,Mumbai,136.4
2010-06-30,Mumbai,143.0
2010-06-30,Mumbai,88.820870487804
2010-09-30,Mumbai,98.671878461075
2010-09-30,Mumbai,157.2
2010-12-31,Mumbai,159.3
2010-12-31,Mumbai,104.745752022526
2011-03-31,Mumbai,172.3
2011-03-31,Mumbai,107.761499028596
2011-06-30,Mumbai,191.6
2011-06-30,Mumbai,118.001952060347
2011-09-30,Mumbai,123.083055537411
2011-09-30,Mumbai,206.1
2011-12-31,Mumbai,191.7
2011-12-31,Mumbai,131.944909264532
2012-03-31,Mumbai,224.7
2012-03-31,Mumbai,129.440576860925
2012-06-30,Mumbai,231.8
2012-06-30,Mumbai,136.352393638224
2012-09-30,Mumbai,156.595482252564
